LETO,ST.OSEB.POD.PRAGOM.REVSCINE,ST.RESNO.MATERIALNO.PRIKRAJSANIH,LETNA.BREZPOSELNOST,DELOVNO.AKTIVNO.PREBIVALSTVO,PREBIVALSTVO,POVP.DOHOD.NA.CLANA.GOSPODINJSTVA,POVP.BRUTO.PLACA,POVP.MIN.PLACA
2008,241000,130000,758589,879257,2025866,7532,1391.1366666666665,571.305
2009,223000,121000,1036245,858171,2032362,8199,1439.2583333333332,592.6233333333333
2010,254000,119000,1206053,835039,2046976,8317,1494.8916666666667,711.3633333333333
2011,273000,122000,1328299,823967,2050189,8482,1524.555,748.1
2012,271000,133000,1322196,810001,2055496,8567,1525.5108333333335,763.06
2013,291000,134000,1437926,793597,2058821,8413,1523.14,783.66
2014,290000,133000,1441308,797792,2061085,8519,1540.1050000000002,792.05
2015,287000,116000,1352709,804637,2062874,8746,1551.6541666666665,799.4499999999999
2016,280000,108000,1237825,817209,2064188,8732,1584.4016666666666,808.3825
2017,268000,92000,1063774,845454,2065895,8990,1626.39,821.5266666666666
2018,268000,74000,941687,872772,2066880,9333,1681.1533333333334,874.7449999999999
2019,243000,53000,890134,894229,2080908,10093,1753.5725,936.5733333333333
2020,254000,62000,1020031,888918,2095861,10477,1858.295,1010.2416666666667
