"Delovno aktivno prebivalstvo po kohezijskih in statistiènih regijah prebivališèa in spolu, Slovenija, letno"

"KOHEZIJSKA / STATISTIÈNA REGIJA";"SPOL";"2005 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2006 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2007 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2008 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2009 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2010 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2011 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2012 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2013 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2014 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2015 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2016 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2017 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2018 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2019 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ";"2020 2 Delovno aktivno prebivalstvo po prebivališèu - SKUPAJ"
"SLOVENIJA";"Spol - SKUPAJ";813100;824839;853999;879257;858171;835039;823967;810001;793597;797792;804637;817209;845454;872772;894229;888918
"SLOVENIJA";"Moški";-;-;-;-;-;468229;457728;447268;435997;441486;443641;446863;463451;478148;492475;488437
"SLOVENIJA";"Ženske";-;-;-;-;-;366810;366238;362733;357600;356306;360996;370346;382003;394624;401754;400481
"Pomurska";"Spol - SKUPAJ";45768;46361;47834;48471;46141;43482;43945;41877;40783;40283;39600;39523;40573;41468;41895;42046
"Pomurska";"Moški";-;-;-;-;-;25045;25040;23409;22666;22847;22293;21668;22375;22547;22808;22797
"Pomurska";"Ženske";-;-;-;-;-;18437;18905;18467;18118;17436;17307;17855;18198;18921;19087;19249
"Podravska";"Spol - SKUPAJ";121806;124028;129569;134087;129297;124895;122915;120135;117887;119013;119587;120013;123115;126593;129981;128923
"Podravska";"Moški";-;-;-;-;-;70517;68491;66451;64892;66278;66564;66003;67736;69236;71550;70655
"Podravska";"Ženske";-;-;-;-;-;54378;54423;53684;52995;52735;53023;54010;55380;57358;58432;58268
"Koroška";"Spol - SKUPAJ";29581;29667;30351;30887;29606;28189;28057;27978;27044;27088;27048;27014;27666;28234;28529;28627
"Koroška";"Moški";-;-;-;-;-;16023;16057;15991;15456;15487;15324;15073;15392;15618;15802;15759
"Koroška";"Ženske";-;-;-;-;-;12166;12000;11987;11589;11601;11724;11941;12275;12616;12727;12869
"Savinjska";"Spol - SKUPAJ";104434;106136;110340;114089;110308;106677;105746;104428;102554;102594;100482;101920;105913;109398;112302;111627
"Savinjska";"Moški";-;-;-;-;-;60520;59545;58681;57468;58038;56534;56918;59334;61200;63258;62684
"Savinjska";"Ženske";-;-;-;-;-;46157;46201;45747;45086;44556;43948;45002;46579;48198;49044;48943
"Zasavska";"Spol - SKUPAJ";17574;17798;18322;18746;17950;17307;16825;16443;15974;15679;22013;22246;23038;23774;24154;23861
"Zasavska";"Moški";-;-;-;-;-;9438;9026;8796;8479;8328;11793;11845;12286;12676;12971;12811
"Zasavska";"Ženske";-;-;-;-;-;7869;7799;7647;7495;7351;10220;10401;10752;11098;11183;11050
"Posavska";"Spol - SKUPAJ";27416;27773;28851;30036;29527;28565;28272;27830;27423;27316;29662;29828;30928;31895;32663;32147
"Posavska";"Moški";-;-;-;-;-;16794;16470;16271;15892;15990;17234;17121;17752;18263;18764;18261
"Posavska";"Ženske";-;-;-;-;-;11770;11802;11559;11531;11325;12428;12707;13176;13632;13899;13886
"Jugovzhodna Slovenija";"Spol - SKUPAJ";58190;58787;61136;62882;61184;59813;58976;57671;56672;57094;57571;58415;61069;63352;64633;63933
"Jugovzhodna Slovenija";"Moški";-;-;-;-;-;34428;33692;32787;32079;32701;32732;32916;34513;35797;36681;35956
"Jugovzhodna Slovenija";"Ženske";-;-;-;-;-;25385;25284;24884;24593;24393;24839;25499;26556;27556;27952;27977
"Primorsko-notranjska";"Spol - SKUPAJ";21781;22202;23104;23750;23261;22603;22207;21803;21209;21367;21507;21757;22241;22965;23439;23424
"Primorsko-notranjska";"Moški";-;-;-;-;-;13051;12733;12467;12071;12272;12281;12317;12617;12984;13292;13346
"Primorsko-notranjska";"Ženske";-;-;-;-;-;9552;9474;9336;9139;9095;9225;9440;9624;9981;10146;10078
"Osrednjeslovenska";"Spol - SKUPAJ";212311;215370;222510;229342;228095;224742;221471;218775;214996;217145;214873;220847;229350;237923;245555;244217
"Osrednjeslovenska";"Moški";-;-;-;-;-;122181;119036;116790;114170;115597;114181;117068;122240;127352;132224;131651
"Osrednjeslovenska";"Ženske";-;-;-;-;-;102561;102436;101985;100826;101548;100693;103780;107110;110572;113331;112566
"Gorenjska";"Spol - SKUPAJ";81390;82392;84716;86674;84678;83175;82197;81567;80277;81155;82235;83789;86539;89133;91059;90804
"Gorenjska";"Moški";-;-;-;-;-;46020;45253;44678;43752;44427;44821;45330;46849;48403;49717;49664
"Gorenjska";"Ženske";-;-;-;-;-;37155;36944;36890;36526;36728;37414;38459;39690;40730;41342;41140
"Goriška";"Spol - SKUPAJ";48838;49379;50828;52185;50214;48377;47305;46345;45083;45173;45571;46335;47839;49283;50122;50161
"Goriška";"Moški";-;-;-;-;-;27319;26453;25686;24883;25127;25253;25504;26365;27242;27855;27856
"Goriška";"Ženske";-;-;-;-;-;21058;20853;20659;20200;20047;20319;20831;21474;22042;22267;22305
"Obalno-kraška";"Spol - SKUPAJ";44011;44946;46437;48107;47909;47215;46051;45150;43694;43886;44489;45523;47183;48754;49898;49150
"Obalno-kraška";"Moški";-;-;-;-;-;26894;25933;25261;24190;24394;24632;25101;25993;26831;27553;26999
"Obalno-kraška";"Ženske";-;-;-;-;-;20321;20118;19889;19504;19492;19857;20422;21191;21923;22346;22151
